,movie_title,genres,language,title_year,duration,imdb_score,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,is_english
0,Avatar ,Action|Adventure|Fantasy|Sci-Fi,English,2009.0,178.0,7.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Pirates of the Caribbean: At World's End ,Action|Adventure|Fantasy,English,2007.0,169.0,7.1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,Spectre ,Action|Adventure|Thriller,English,2015.0,148.0,6.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,The Dark Knight Rises ,Action|Thriller,English,2012.0,164.0,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,John Carter ,Action|Adventure|Sci-Fi,English,2012.0,132.0,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,Spider-Man 3 ,Action|Adventure|Romance,English,2007.0,156.0,6.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,Tangled ,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,English,2010.0,100.0,7.8,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
8,Avengers: Age of Ultron ,Action|Adventure|Sci-Fi,English,2015.0,141.0,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,Harry Potter and the Half-Blood Prince ,Adventure|Family|Fantasy|Mystery,English,2009.0,153.0,7.5,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
10,Batman v Superman: Dawn of Justice ,Action|Adventure|Sci-Fi,English,2016.0,183.0,6.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11,Superman Returns ,Action|Adventure|Sci-Fi,English,2006.0,169.0,6.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,Quantum of Solace ,Action|Adventure,English,2008.0,106.0,6.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,Pirates of the Caribbean: Dead Man's Chest ,Action|Adventure|Fantasy,English,2006.0,151.0,7.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,The Lone Ranger ,Action|Adventure|Western,English,2013.0,150.0,6.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,Man of Steel ,Action|Adventure|Fantasy|Sci-Fi,English,2013.0,143.0,7.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
16,The Chronicles of Narnia: Prince Caspian ,Action|Adventure|Family|Fantasy,English,2008.0,150.0,6.6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
17,The Avengers ,Action|Adventure|Sci-Fi,English,2012.0,173.0,8.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18,Pirates of the Caribbean: On Stranger Tides ,Action|Adventure|Fantasy,English,2011.0,136.0,6.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19,Men in Black 3 ,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,English,2012.0,106.0,6.8,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
20,The Hobbit: The Battle of the Five Armies ,Adventure|Fantasy,English,2014.0,164.0,7.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21,The Amazing Spider-Man ,Action|Adventure|Fantasy,English,2012.0,153.0,7.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22,Robin Hood ,Action|Adventure|Drama|History,English,2010.0,156.0,6.7,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
23,The Hobbit: The Desolation of Smaug ,Adventure|Fantasy,English,2013.0,186.0,7.9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
24,The Golden Compass ,Adventure|Family|Fantasy,English,2007.0,113.0,6.1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
25,King Kong ,Action|Adventure|Drama|Romance,English,2005.0,201.0,7.2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,Titanic ,Drama|Romance,English,1997.0,194.0,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27,Captain America: Civil War ,Action|Adventure|Sci-Fi,English,2016.0,147.0,8.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,Battleship ,Action|Adventure|Sci-Fi|Thriller,English,2012.0,131.0,5.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
29,Jurassic World ,Action|Adventure|Sci-Fi|Thriller,English,2015.0,124.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
30,Skyfall ,Action|Adventure|Thriller,English,2012.0,143.0,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
31,Spider-Man 2 ,Action|Adventure|Fantasy|Romance,English,2004.0,135.0,7.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
32,Iron Man 3 ,Action|Adventure|Sci-Fi,English,2013.0,195.0,7.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33,Alice in Wonderland ,Adventure|Family|Fantasy,English,2010.0,108.0,6.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
34,X-Men: The Last Stand ,Action|Adventure|Fantasy|Sci-Fi|Thriller,English,2006.0,104.0,6.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
35,Monsters University ,Adventure|Animation|Comedy|Family|Fantasy,English,2013.0,104.0,7.3,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
36,Transformers: Revenge of the Fallen ,Action|Adventure|Sci-Fi,English,2009.0,150.0,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,Transformers: Age of Extinction ,Action|Adventure|Sci-Fi,English,2014.0,165.0,5.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,Oz the Great and Powerful ,Adventure|Family|Fantasy,English,2013.0,130.0,6.4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
39,The Amazing Spider-Man 2 ,Action|Adventure|Fantasy|Sci-Fi,English,2014.0,142.0,6.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
40,TRON: Legacy ,Action|Adventure|Sci-Fi,English,2010.0,125.0,6.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
41,Cars 2 ,Adventure|Animation|Comedy|Family|Sport,English,2011.0,106.0,6.3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
42,Green Lantern ,Action|Adventure|Sci-Fi,English,2011.0,123.0,5.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
43,Toy Story 3 ,Adventure|Animation|Comedy|Family|Fantasy,English,2010.0,103.0,8.3,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
44,Terminator Salvation ,Action|Adventure|Sci-Fi,English,2009.0,118.0,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
45,Furious 7 ,Action|Crime|Thriller,English,2015.0,140.0,7.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
46,World War Z ,Action|Adventure|Horror|Sci-Fi|Thriller,English,2013.0,123.0,7.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
47,X-Men: Days of Future Past ,Action|Adventure|Fantasy|Sci-Fi|Thriller,English,2014.0,149.0,8.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
48,Star Trek Into Darkness ,Action|Adventure|Sci-Fi,English,2013.0,132.0,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
49,Jack the Giant Slayer ,Adventure|Fantasy,English,2013.0,114.0,6.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
50,The Great Gatsby ,Drama|Romance,English,2013.0,143.0,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51,Prince of Persia: The Sands of Time ,Action|Adventure|Fantasy|Romance,English,2010.0,116.0,6.6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
52,Pacific Rim ,Action|Adventure|Sci-Fi,English,2013.0,131.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
53,Transformers: Dark of the Moon ,Action|Adventure|Sci-Fi,English,2011.0,154.0,6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
54,Indiana Jones and the Kingdom of the Crystal Skull ,Action|Adventure|Fantasy,English,2008.0,122.0,6.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55,The Good Dinosaur ,Adventure|Animation|Comedy|Family|Fantasy,English,2015.0,93.0,6.8,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
56,Brave ,Adventure|Animation|Comedy|Family|Fantasy,English,2012.0,93.0,7.2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
57,Star Trek Beyond ,Action|Adventure|Sci-Fi|Thriller,English,2016.0,122.0,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
